review_id,review_text
0XVOLzGEKqDsyAQWIxQZMg,コスパが良いホテルです。駐車場も平面で1台分が他に比べ広く、素泊まり且つ車でディズニーする時はいいなと思います！お部屋はお任せでA棟でしたが、2人で泊まるには十分な広さでした。ロビーからA棟は遠く、ちょっと複雑な通路です。今回泊まらせて頂き良かったとは思いますが、残念だった点もいくつか…。お部屋のソファに大きな黄色いシミがあったこと、壁などよく見ると傷が結構あったりお風呂場は洗い場有でしたがタイルに黒カビが少々…あとは冷蔵庫のスイッチが入ってなかったので自分でつけましたがどのレベルにしたらいいか目安がわからず冷凍になってしまいました…。ビジホでは節約のためかよく冷蔵庫の電源入ってないってことはありますが少し残念です。しかしながら、これらは許容範囲内ですし連れは満足しておりました。ディズニーから近い事と値段、駐車場の良さでまた宿泊するかとは思います。ありがとうございました。
_9J-DoASEsDtSWFT2yrqlA,エレベーターがすぐ来るので助かりました。朝食サービスも嬉しかったです。
GZKznIId9LbWC-HoBlF4JQ,以前利用させていただいて良かったので、リピート宿泊でした。前回はTVでYouTube等は見られなかったのですが、今回は見られるものに変わっていて大変ありがたかったですし、より良いサービスのために日々努力・改善をしてくださっているんだな、という印象を受けました。宿泊直前に同行者と隣同士の部屋にしてほしい、ソファは2人掛けの部屋にしてほしい(以前、HPの写真を見て2人掛けの部屋だと思い、宿泊したら1人掛けだったので←これに関しても以前口コミに投稿したらすぐにHPの内容もわかりやすいように変えてくださっていて、本当に対応が早い・より良いサービスのために努力してくださるホテルだな、と思いました)、などと色々無理をお願いしてしまいましたが、あたたかく対応してくださり助かりました。本当にありがとうございます。ただ、一つだけ、ノークリーニングサービスをお願いしたときにいただける館内ショップ等で使えるクーポン券について気になる点がありました。前回宿泊した際もノークリーニングサービスをお願いし、同じクーポン券をいただきました。その際、館内のコンビニでAmazonギフト券を購入する場合でもクーポンは使用できるのかお尋ねしたところ、OKとのことだったので前回はAmazonギフト券を購入するのにクーポンを使わせていただきました。ですので当然今回も使用できるものと思い、最終日までクーポンを使わずに置いておき、最終日にいざコンビニに行ってAmazonギフト券を購入しようとしたら『Amazonギフト券の購入には使えません』と言われてしまいました。こちらとしては、前回は使えたから今回も大丈夫だと思っており、最終日まで残しておいたのですが使えないとのことでどうすれば良いかわからず、、かと言って帰る寸前にクーポン3000円分も食料等を買っても食べ切れるわけもなく、結局コンビニで日用品を3000円分購入して帰りましたが、すでに荷物も詰めた後だったので大変でした。こちらが油断していたのが悪かったのですが、同じようにクーポンを利用しようと考えていらっしゃる方は気をつけた方が良いかと思います。
mrqiFDyp2B7bQa2RnffiTQ,今年２月のインパで利用しました。こどもが「エミオンのお風呂が好き」やホテルの雰囲気、靴脱ぐのが大好きな「和室」やキッズ遊具がある「特別タイプの洋室」が好きで毎度利用させてもらってます。スタッフの方々の丁寧な対応は毎回感動してます。最早リピーターとなりつつあります。
1KlhU2FTDtdOwdCyITyLhQ,TDLに行く時はいつも利用させて頂いています。駅からも徒歩で行く事ができるので便利です。次は大浴場も利用してみたいと思っています。
Eo75lVQtxnR-lU59wkYktg,良い点①前回 宿泊した時にコンビニの閉店時間がもう少し遅くまで ということを指摘したら 、今回閉店時間が 1時間延長されていていた。②前回 宿泊時に指摘した コインランドリーの混雑状況が今回はテレビで確認できたのが良かった。③前回 宿泊した時に指摘した箇所が改善されていて、その対応の早さにびっくりした。悪い点①マッサージをしたかったのですが 、とても混雑していて予約するのが遅いと夜中の2時とかにならないと予約が取れなかったので 諦めた。2階の自動販売機のスペースにコインでできるマッサージ機とかフットマッサージャーがあれば便利だなと思いました。大抵の人は ディズニーで1日 歩き回って足が疲れていると思います。②自動販売機にアイスの自動販売機を追加していただきたい。
k3O0VXKpnL_zB7-4VAl3cg,ディズニー女子旅5人で２泊しました！5人一緒の部屋に泊まるのってなかなか他のホテルでは出来ないので有難いです。温泉は1日につき1人一回券でしたが個人的には満足です！ただ、混雑はするので遅い時間まで営業してもらえたら嬉しいなと思いました。パークとの無料シャトルバスも大変有難い。強いて言えばパーク閉園後のバスが来るのが遅くてそれだけが難点でした。総合的に大満足です！また何かあれば宿泊しに行きます！
asfqjmV0Toj-zIgfjIIqiA,ディズニー帰りの宿泊で利用しました。とても清潔感のあるお部屋できちんと清掃が行き届いており快適に過ごすことができました。窓が大きく開き外の景色を見るとほっとひと息つけました。必要なアメニティやインスタントコーヒー等は揃っていましたが、館内に飲み物の自販機しかない為途中のコンビニでお買い物をしてから向かうのがおすすめです。また利用したいと思えるホテルでした。ありがとうございました。
LS8nHd45yfrLY7tstkdAlw,お部屋をグレードアップしていただき、とても快適に過ごすことができました。また、朝食は、卵かけご飯が絶品で、薬味が沢山あり、大変美味しく頂きました。(女性には、色々食べれるのがいいですね～)機会があったら、また是非行かせていただきます！
BvGvaneZpB33qBaT0DDqVQ,駅近く便利でした。手頃なお値段のようでしたので、次回は館内のレストランを利用しようと思います。
