hotel_id,prefecture,review_text
934,hokkaido,アメニティが揃っていて良かった。
934,hokkaido,駅から近く徒歩圏内ですが、降雪時は歩道の雪で移動に少し時間がかかります。周辺にはコンビニもあり便利でした。部屋はきれいで過ごしやすかったです。
934,hokkaido,大浴場、露天風呂は最高でした！
934,hokkaido,露天風呂が最高ですねーサウナがあれば100点満点
934,hokkaido,部屋は掃除も行き届いていて特に不満もなかったのですが、掛布団カバーの両サイドに羽毛布団を引っ張る為のスリットがあって、そこからガムテープで補修した布団の両耳が出ているのにはびっくりしました。補修用の布などで丁寧に繕われているならまだしも、乱暴に紙のガムテープで処理してあって、がっかりです。お値段も手頃でしたが、次の利用は無いです。
182148,hokkaido,チェックインの際並んで待っていても平気で後の人を受付したし他のカウンターが空いても此方から声を掛けないと平気でいるのでもう少し気遣いが欲しい食事は海鮮ディナービュッフェの期待度が高すぎたのか少し残念だったが朝食は良いでしたお風呂は見晴らしが良く好いが団体客が少しわちゃわちゃしていて静かには入れない時が有った。立地は空港からも近く二人ならバスよりタクシーの方が安いかもで観光も路面電車の駅まで歩いて行けるし丁度良い感じでした。
182148,hokkaido,グレードアップで広いツインのお部屋にしていただいたようですが、ダブルで泊まりたかったため、ダブルに戻していただきました。親切なご対応に感謝します。お部屋は隅々までとても綺麗に掃除され、広くて大満足でした！夕食のカニ、ソフトクリームも絶品で最高の記念日を過ごせました！心から自慢できる地元です。
182148,hokkaido,朝食ブッフェと温泉がお目当てで一月下旬の平日に一泊しました。朝食は本当に美味しかったです、勝手丼を作るのが楽しくて、さらに美味しく感じられました。温泉も海の見える露天で、夜、朝どちらも良かったです。ただ、湯船に身体を隠すタオルを巻いたまま入られたり、そのタオルが何枚か沈んでいたり、脱衣所の椅子に使用済みのオムツを置きっぱなしにするなどマナー違反の方々が多く、その点が非常に残念でした。海外の方が多いのですから、注意事項を中国語・韓国語・英語で書いて貼るなど対策が必要ではないでしょうか。
182148,hokkaido,食事内容も充実し、温泉もちょうどよい温度で気持ちよかった
182148,hokkaido,久しぶりに朝食バイキングが美味しいホテルに出会い、とても嬉しく思いました！お腹の都合で全種類(140種類)は食べれませんでしたが(笑)、食べたものはどれも美味しく、お刺身も種類が多くて良かったです。ヤクルトとソフトクリームがあったのも嬉しいポイントでした。函館に行く時はまたお世話になります。
147185,hokkaido,朝食以外は良かったです。ありがとうございました。
147185,hokkaido,アメニティが充実してた。
147185,hokkaido,すべてが平均点かと思いました。レトルトカレーを頂きプチ嬉しかったです。
