hotel_id,prefecture,review_text
108675,toyama,最上階のお部屋の宿泊しました。正面に富山湾、右に北アルプスが一望できる絶景を堪能できました。景色をじっくり見れるように配置された腰掛がとても良かったです。食事は鰤会席をいただきました。前菜から御飯物までほとんどのお料理に鰤が入っていて、旬の味を存分に楽しめました。担当の仲居さんもとても気さくな方で、会話が弾んで楽しかったです。お風呂も広々としていて、ゆったり過ごすことができました。地震の影響で、従業員の方も館内設備も大変な思いをしたと思いますが、その中でも丁寧なおもてなしをしてくださったことにとても感謝しております。ありがとうございます。
108675,toyama,夜遅くにも関わらず送迎をしていただき大変助かりました。客室や露天風呂からの景色も良く大変満足です。また富山に来た際は利用させていただきたいです。
108675,toyama,両親、2歳の息子と共に2部屋予約し泊まりました。父の退職祝いのためサプライズもお願いし、とても気持ちよく過ごせました。あいにく天気には恵まれませんでしたが、キッズスペースのアンパンマンに大喜びの息子が微笑ましかったです。
108675,toyama,兄妹3人で宿泊しました。富山湾を望める露天風呂は最高の癒しでした。残念ながら曇り空で立山連峰は見えなかったけれど夕朝食は品数と量が多く、いずれも美味しくて大満足でした。神奈川から来た妹夫婦も喜んでいて、また泊まりたいと言っていました。
108675,toyama,久しぶりの高岡の旅行地震も心配しつつ、伺いました。お客様も多くて、賑やかで良かったです。食事では　夕食の吸い物の出汁が美味しかったです。朝食では氷見うどんがあり、嬉しかったです。また昆布が数種あり、富山らしいおもてなしでした。ただ可能であれば、うどんや湯豆腐　ご飯の位置に数種の昆布が配置されていれば、最高でした。立地も良く、また訪れたい素敵な宿でした
5573,toyama,家族3人帰省の為利用しました。市内のホテルではトリプルルームが見当たらず毎回ここに宿泊しております。帰省日は2024/1/1、能登地震が発生した日でした。遠方にいる私たちがどう動いていいかわからない状態の中、非常口からの避難誘導や待機時の飲み物などありがたかったです。地震でエレベーターが緊急停止したため、非常口から10階以上階段で登らないといけないことがありましたが、毎回ホテルスタッフ誘導のもと一緒に登り降りをして下さり、ご苦労が伺えました。おそらく緊急で出勤されたと思われるスタッフもおられ、増員態勢でご対応下さりありがとうございました。
5573,toyama,親類の婚礼出席の為に夫婦で一泊しました。多少古さを感じる部分はありましたが、部屋は十分なスペースがあり快適に過ごすことができました。朝食付き＆駐車場無料のプランでコスパもよかったです。
5573,toyama,お得なプランがあり、かねてから狙っていたので予約いたしました。お部屋的には、シングルルーム使用なので、広さは普通のビジホと同等でしたが、いいお部屋になって満足です。遅めのチェックインで、地下は満車のところ、なんとかしていただけました。サービス・接客などは、問題ありません。小さい冷蔵庫も、けっこう冷えてました。朝食ブッフェは、期待通り素晴らしかったです。パンも美味しいです。また機会があれば使いたいと思います。
5573,toyama,3月16日に宿泊いたしました。当日イベントがあったようで、ホテルの地下駐車場は満車でしたが、別の駐車場を案内していただき、地下駐車場が空き次第移動ができました。部屋も広く朝食もおいしかったです。高岡に行く際はまた利用したいです。
5573,toyama,マッサージチェア付きのお部屋にアップグレード（？）していただきました。とやマネー付与の対象になったので、お得でした。ニューオータニ高岡さんのますの寿司は帰宅後頂きましたがおいしかったです。
20569,toyama,リピート利用で接客も良く食事も満足でした。
20569,toyama,高岡駅に隣接し、大変便利だった。フロントの方も親切で、コーヒーサービスがあるのも良い。ただ、レストランの接客はとにかく待たされるなどいまいちだった。（食事はおいしかったのに残念）
20569,toyama,駅チカで便利
20569,toyama,観光にも便利な場所で場所でよかったですが、チェックイン時に富山応援クーポンの提供をこちらから言わないと配布して頂けず、対応が少しそっけなかったのが残念です。、
20569,toyama,朝食のお米、イカ刺し、イカ黒作りが美味しかった。
11367,toyama,窓から立山連峰が良く見える部屋で、とてもいい眺めでした。朝食会場は広くゆったりと過ごすことができました。スタッフの方が子供用の椅子を持ってきてくださり、大変ありがたかったです。品数は多くはありませんが、沖漬けなど小鉢などとても美味しかったです。最上階はまだ工事中とのことで残念でしたが、眺望もいいスパが出来るのは楽しみですね。
11367,toyama,魚津に行く際、良く利用しています。部屋も心地よく、景色が良いです。出来たら、コロナが落ち着いて来たのでコーヒーカップ、紙コップじゃなくマグカップとかにしていただけませんかね。せっかくコーヒーが部屋に置いて下さっているので、雰囲気を味わえる様にして頂きたいです。ゆったり朝まで過ごせるので良いホテルだと思います。
11367,toyama,喫煙しか予約できず、最初は臭いが気になりましたが、それ以外は快適でした。湯船が大きいのが良かったです。レンジが各フロアにあったらいいと思います。大浴場が完成したらまた利用したいです。
11367,toyama,お部屋がそこそこ広く、窓際に椅子も設置されていて大変くつろげました。洗面台も広く快適に使用でき、とても良かったです。生憎のお天気でしたが窓から立山連峰が見えました。お天気なら素晴らしい眺めだったろうなと少し残念でしたが十分迫力を堪能できました。食事は正直可もなく不可もなくといった感じでしたが、フルーツと野菜は新鮮で美味しかったです。駅の観光案内でレンタサイクルがあるので漁港やミラージュランド辺りまでサイクリングを楽しみました。あまりゆっくりできなかったのでまたぜひ訪れたいです。
11367,toyama,ホテルは設備もサービスもとても良かったです。お鮨屋さんはホテル推薦だけあって、富山ならではの海鮮を堪能できました。地元の方との会話も楽しめました。
53171,ishikawa,金沢駅前のとても良い立地で数回泊まっています。受付もスムーズでした。お風呂のお湯がとても良く、温まります。朝食は品数が多く、海鮮が美味しかったです。部屋は清潔で快適でしたが、他の部屋のトイレの流れる音が少し気になりました。
53171,ishikawa,残念な点：ベッドサイドのシミやデスク上の埃が気になりました。良かった点：立地、朝食、大浴場は満点にさせていただきました。歯ブラシ、髭剃りは上質でした。朝食のイクラ、マグロは美味しくいただきました。温泉の大浴場、夜のアイス、朝のクロレラはありがたいです。
53171,ishikawa,今回初めての利用でしたが、想像以上に部屋の広さ、風呂の設備、食事(朝食)のQualityの高さに満足出来ました。次回も利用させて頂きたく思います。
53171,ishikawa,1月20日に宿泊しました。部屋は少し狭く感じました。大浴場は大変気持ちよかったです。あとお風呂に行く時に何か入れていくものが準備されているとありがたかったかな。と思います。食事は、朝から具沢山の海鮮丼をいただき、満足でした。
53171,ishikawa,立地も駅近くで利便性高く、朝食ビュッフェも大満足です。海鮮丼やハントンライス、金沢名物の小鉢も品揃え豊富で、朝から金沢グルメを満喫。時間別の飲食等のサービスもあり、露天風呂も気持ち良かったです。また金沢に来る時は利用させて頂きたいホテルです。
2199,ishikawa,金沢に旅行する際の定宿にしています。大浴場があり、駅から近いのがありがたいです。また利用します。
2199,ishikawa,とても親切でいいホテルでした。お風呂もよかったです。また泊まりたいです。
2199,ishikawa,・チックイン前まで、コインロッカー(無料）で荷物を預けられる。観光には便利・Wi-Fiが部屋では繋がりにくいが、ロビーでは繋がる。・PM9時から無料の夜泣きそばが提供される。夜食に最適。
2199,ishikawa,震災の最中に仕事で利用させていただきましたが、とても快適に過ごさせていただきました。ありがとうございました。
2199,ishikawa,大浴場がいつも23時頃から混雑な状況と表示されるので、一度も入らず。
17927,ishikawa,良かったです！今年二回行きました！また、行きます！
17927,ishikawa,部屋も温泉も広くきれいでご飯もボリューム満点で最高の宿でした！
